,Name,Address,City,State,Website
0,49th State Brewing Co – SEASONAL,Mile 248.4 Parks Hwy 99743,Healy,AK,https://www.49statebrewing.com/
1,49th State Brewing Co Anchorage,717 W 3rd Ave 99501,Anchorage,AK,https://49statebrewing.com/anchorage/
2,Alaskan Brewing Co,5429 Shaune Dr 99801,Juneau,AK,http://www.alaskanbeer.com/
3,Alpenglow Brewery,3024 Mountain View Dr - Suite 106 99501,Anchorage,AK,http://www.alpenglowbrewery.com
4,Anchorage Brewing Co,148 W 91st Ave 99515,Anchorage,AK,http://anchoragebrewingcompany.com/
5,Arkose Brewing Co,650 E Steel Loop 99645,Palmer,AK,http://www.arkosebrewery.com/
6,Baleen Brewing Co,9462 Mizzen Lane 99901,Ketchikan,AK,http://www.baleenbrewing.com
7,Barnaby Brewing Co,165 Shattuck Way 99801,Juneau,AK,http://www.barnabybrew.com
8,Bawden Street Brewing Co,325 Bawden St 99901,Ketchikan,AK,http://www.facebook.com/bawdenstreetbrewing/
9,Bearpaw River Brewing Co,4605 E Palmer-Wasilla Hwy 99654,Wasilla,AK,http://www.bearpawriverbrewing.com/
10,Bearpaw River Brewing Co,240 E Railroad Ave 99654,Wasilla,AK,http://www.bearpawriverbrewing.com
11,Big Delta Brewing Co,1205 Richardson Hwy 99737,Delta Junction,AK,http://www.bigdeltabrewingcompany.com
12,Black Spruce Brewing Co,3290 Peger Rd 99709,Faribanks,AK,http://www.blacksprucebeer.com
13,Bleeding Heart Brewery,562 S Denali St 99645,Palmer,AK,http://bleedingheartbrewery.com
14,Brewerks,625 W 59th St  Units A and B 99518,Anchorage,AK,
15,Broken Tooth Brewing Co,2021 Spar Ave 99501,Anchorage,AK,http://brokentoothbrewing.net/
16,Cooper Landing Brewing Co,34898 Caribou Heights Dr 99572,Cooper Landing,AK,http://www.cooperlandingbrewing.com
17,Cynosure Brewing Co,144 E Potter Dr - Unit E 99518,Anchorage,AK,https://www.facebook.com/CynosureBrewing
18,Denali Brewing Co,37083 Talkeetna Spur Rd 99676,Talkeetna,AK,https://www.denalibrewingcompany.com/
19,Devils Club Brewing Co,100 N Franklin St 99801,Juneau,AK,http://www.devilsclubbrewing.com
20,First and Main Brew,107 First St 99921,Craig,AK,http://www.firstandmainbrew.com
21,Forbidden Peak Brewery,11798 Glacier Hwy 99801,Juneau,AK,http://forbiddenpeak.com
22,Gakona Brewing Co,Mile 0.5 Tok Cutoff Hwy 99586,Gakona,AK,http://www.gakonabrewing.com/
23,Girdwood Brewing Co,2700 Alyeska Hwy 99587,Girdwood,AK,
24,Glacier Brewhouse,737 W 5th Ave 99501,Anchorage,AK,http://www.glacierbrewhouse.com/
25,Grace Ridge Brewing Co,870 Smoky Bay Way 99603,Homer,AK,http://www.graceridgebrewing.com
26,Growler Bay Brewing Co,224 Galena D 99686,Valdez,AK,http://growlerbaybrewing.com
27,Haines Brewing Co,327 Main St 99827,Haines,AK,http://www.hainesbrewing.com/
28,Harbor Mountain Brewing Co,1209 Sawmill Rd  Suite A 99835,Sitka,AK,http://harbormountainbrewing.com
29,Homer Brewing Co,1411 Lake Shore Dr 99603,Homer,AK,http://www.homerbrew.com/
30,HooDoo Brewing Co,1951 Fox Ave 99701,Fairbanks,AK,http://www.hoodoobrew.com/
31,Icy Strait Brewing Co (Misty Bay Lodge),286  Front St 99829,Hoonah,AK,http://icystraitbrewing.company/
32,Kassik’s Brewery,47160 Spruce Haven St 99611,Kenai,AK,https://www.kassikskenaibrewstop.com/
33,Kenai River Brewing Co,308 Homestead Lane 99669,Soldotna,AK,http://www.kenairiverbrewing.com/
34,Kenai River Brewing Co,241 N Aspen Lane 99669,Soldotna,AK,
35,King Street Brewing Co,9050 King St 99515,Anchorage,AK,http://kingstreetbrewing.com/
36,Klondike Brewing Co,365 2nd Ave 99840,Skagway,AK,http://www.klondikekettleworks.com/brewery
37,Kodiak Island Brewing Co,338 Shelikof Ave 99615,Kodiak,AK,http://www.kodiakbrewery.com/
38,Last Frontier Brewing Co,238 N  Boundary St 99654,Wasilla,AK,http://lastfrontierbrew.com/
39,Lat 65 Brewing Co,150 Eagle Ave 99701,Fairbanks,AK,http://www.lat65brewing.com
40,Lazy Mountain Brewing Co,15905 E Helmaur Pl 99645,Palmer,AK,http://www.lazymountainbrewing.com
41,Magnetic North Brewing Co,8861 Golovin St 99507,Anchorage,AK,http://magneticnorthbrewingco.com
42,Matanuska Brewing Co,513 S Valley Way 99645,Palmer,AK,http://matanuskabrewing.com/
43,Midnight Sun Brewing Co,8111 Diamond Hook Dr 99507,Anchorage,AK,https://msbc2014.us.cloudlogin.co/
44,Midnite Mine Brewing Co,308 Wendell Ave 99701,Fairbanks,AK,http://www.facebook.com/midniteminebrewingco/
45,Odd Man Rush Brewing Co,10930 Mausel St - A-1 99577,Eagle River,AK,http://oddmanrushbrewing.com/
