,Medal,Beer Name,Brewery,City,State,Category,Year
0,Gold,Hometown Lager,Second Pitch Beer Co.,San Antonio,TX,American Amber Lager,2023
1,Silver,Vecino,Balter Beerworks,Knoxville,TN,American Amber Lager,2023
2,Bronze,Bell’s Brewery Octoberfest,Bell’s Brewery,Comstock,MI,American Amber Lager,2023
3,Gold,Blown Tire,Knuckle Puck Brewing,Longmont,CO,American Amber/Red Ale,2023
4,Silver,Night Sky Red Ale,Sound2Summit Brewery,Snohomish,WA,American Amber/Red Ale,2023
5,Bronze,Azalea City Amber,Georgia Beer Co.,Valdosta,GA,American Amber/Red Ale,2023
6,Gold,Breakside Cheat Codes,Breakside Brewery,Portland,OR,American Black Ale or American Stout,2023
7,Silver,Hoppa Emeritus,Beachwood Brewing – Long Beach,Long Beach,CA,American Black Ale or American Stout,2023
8,Bronze,Midnight Oil,Tustin Brewing Co.,Tustin,CA,American Black Ale or American Stout,2023
9,Gold,307,Black Tooth Brewing Co.,Sheridan,WY,American Cream Ale,2023
10,Silver,Cinco Cinco Cinco!,Shred Beer Co.,Rocklin,CA,American Cream Ale,2023
11,Bronze,The Coloradan,Westbound & Down Brewing Co. – Westbound Mill,Lafayette,CO,American Cream Ale,2023
12,Gold,Street Cart,Golden Road Brewing – Los Angeles,Los Angeles,CA,American Fruit BeerCategory Sponsor: Amoretti,2023
13,Silver,Big Sippin’,Odell Brewing Co. – Five Points Brewhouse,Denver,CO,American Fruit BeerCategory Sponsor: Amoretti,2023
14,Bronze,Lemonade,Surly Brewing Co.,Minneapolis,MN,American Fruit BeerCategory Sponsor: Amoretti,2023
15,Gold,Wibby Jibby,Wibby Brewing,Longmont,CO,American Pilsener,2023
16,Silver,Cerveza Mecanica,Liquid Mechanics Brewing Co.,Lafayette,CO,American Pilsener,2023
17,Bronze,Week 365,Industrial Arts Brewing Co.,Beacon,NY,American Pilsener,2023
18,Gold,Brilliant,10 Barrel Brewing Co.,Bend,OR,American Sour Ale,2023
